Latitude,Longitude,Century_of_Origin,Known_Date_of_Origin,Dedication,Active_Devotion,MRO_Devotion,RAS)"
41.885379,12.495494,13,1201,1.11111,0,,0
41.888753,12.498028,13,1201,2,1,2016,1
41.889542,12.469799,14,1301,2.1,0,,0
41.88906,12.475354,14,1301,2.155555556,0,,0
41.888198,12.515689,14,1301,9.9,0,,0
41.886657,12.49258,14,1301,9.9,0,,0
41.891182,12.489018,14,1301,9.9,0,,0
41.892795,12.478863,15,1401,1,0,,0
41.898632,12.469934,15,1475,1,0,,0
41.89545,12.47322,15,1599,2,1,2015,1
41.89946,12.47855,15,1401,2.999999,1,2014,1
41.876803,12.48156,15,1401,4,0,,2
41.900489,12.468112,16,1523,1.2,0,,0
41.901518,12.472737,16,1501,1.23,0,,0
41.89825,12.4694,16,1501,2,1,2012,1
41.89376,12.47263,16,1501,2.1,0,,0
41.891443,12.470165,16,1501,2.1,0,,0
41.895986,12.472242,16,1501,2.1,0,,0
41.907906,12.482275,16,1501,2.1,0,,0
41.89964,12.46852,16,1501,2.144444,0,,0
41.865782,12.505346,16,1539,2.22222222,0,,0
41.897223,12.466419,16,1501,6.6666,0,,1
41.907842,12.47693,16,1501,8.8,0,,9
41.894022,12.473633,17,1604,1,0,,0
41.902459,12.476543,17,1601,1.111,0,,0
41.899977,12.483869,17,1601,1.111,0,,0
41.894234,12.474554,17,1601,1.111111,0,,0
41.887182,12.503749,17,1636,1.1111111,0,,0
41.900173,12.467275,17,1601,1.255555556,0,,2
41.896533,12.468397,17,1601,2,0,,0
41.89575,12.49572,17,1601,2,0,,0
41.899147,12.468616,17,1601,2.1,0,,0
41.900063,12.472984,17,1601,2.1,0,,0
41.896791,12.474527,17,1601,2.1,0,,0
41.895403,12.473712,17,1601,2.1,0,,0
41.90096,12.47061,17,1601,2.1,1,2016,1
41.902281,12.476044,17,1601,2.1,0,,0
41.896937,12.468642,17,1601,2.1,0,,0
41.898484,12.477548,17,1601,2.1,0,,9
41.886601,12.474813,17,1685,2.1,1,2014,1
41.895656,12.47394,17,1601,2.122222,0,,0
41.891505,12.48336,17,1658,2.122222222,0,,2
41.899966,12.483892,17,1601,2.13,1,2015,2
41.90426,12.457581,17,1601,2.1338888,0,,0
41.89725,12.477951,17,1601,2.1444,0,,0
41.89428,12.49864,17,1601,2.15,0,,0
41.892501,12.466851,17,1601,2.155555,0,,1
41.895139,12.470636,17,1601,2.1555555,0,,0
41.899812,12.467611,17,1601,2.15555555,0,,0
41.89881,12.469531,17,1601,2.155555555,0,,0
41.894504,12.490519,17,1601,2.1666,0,,0
41.901701,12.474303,17,1601,2.19999999,0,,0
41.906942,12.477016,17,1601,2.22,0,,0
41.895668,12.478966,17,1601,2.22,0,,0
41.898841,12.477286,17,1601,2.2222222,0,,0
41.897746,12.479568,17,1601,2.2222222,0,,0
41.900552,12.461502,17,1601,2.22222222,0,,2
41.904,12.482359,17,1601,2.22222222,0,,2
41.896811,12.496984,17,1601,2.222222222,0,,0
42.041535,13.016848,17,1601,2.222222222,1,2012,1
41.902081,12.490804,17,1601,2.222222222,0,,0
41.882369,12.493541,17,1601,2.222222222,1,2016,0
41.898824,12.472682,17,1601,2.5,0,,0
41.892983,12.471836,17,1601,2.5,0,,0
41.890604,12.477647,17,1601,6.666,0,,0
42.15238,11.935954,17,1601,9,1,2008,1
41.891388,12.467151,18,1701,1.1,1,2016,1
41.886613,12.469884,18,1701,1.111,1,2017,1
41.8946,12.47008,18,1734,1.111,0,,1
41.887614,12.477257,18,1701,1.1111111,0,,0
41.900491,12.469883,18,1701,1.1111111,0,,0
41.886298,12.492407,18,1701,1.1111111,0,,0
41.892103,12.467588,18,1701,1.11111111,0,,0
41.894779,12.470167,18,1701,1.111111111,0,,0
41.87678,12.50205,18,1701,1.11111112,1,2016,1
41.89949,12.47791,18,1701,1.225,0,,0
41.895067,12.474097,18,1701,1.23,0,,2
41.897367,12.476367,18,1701,1.23,0,,0
41.903473,12.48671,18,1701,1.23,0,,0
41.891486,12.469844,18,1701,1.23,0,,2
41.903942,12.461707,18,1752,1.23,0,,0
41.895173,12.479771,18,1701,2,0,,0
41.896977,12.475264,18,1701,2,0,,2
41.90053,12.47403,18,1701,2,0,,0
41.905551,12.479447,18,1701,2,0,,0
41.895455,12.486832,18,1701,2,1,,0
41.900461,12.471841,18,1701,2,0,,0
41.89622,12.49172,18,1701,2,0,,0
41.891514,12.469201,18,1701,2,0,,2
41.901142,12.477968,18,1701,2,0,,0
41.897554,12.478533,18,1701,2,0,,0
41.899694,12.4806,18,1701,2,0,,0
41.90073,12.46719,18,1701,2,0,,0
41.89737,12.49782,18,1701,2,0,,0
41.895526,12.498231,18,1701,2,0,,0
41.8888,12.477268,18,1701,2,0,,0
41.90144,12.46975,18,1701,2,0,,0
41.898505,12.469463,18,1701,2,0,,2
41.900612,12.484386,18,1701,2,0,,0
41.923811,12.502797,18,1701,2,0,,0
41.897201,12.473443,18,1701,2,0,,0
41.904437,12.482054,18,1786,2,0,,1
41.896595,12.481261,18,1796,2,0,,0
41.892764,12.478926,18,1701,2.1,0,,0
41.877541,12.475996,18,1701,2.1,0,,0
41.895842,12.478355,18,1701,2.1,0,,0
41.896628,12.474154,18,1701,2.1,0,,0
41.895297,12.471293,18,1701,2.1,0,,0
41.899809,12.476053,18,1701,2.1,0,,0
41.887375,12.47686,18,1701,2.1,0,,0
41.893123,12.488097,18,1701,2.1,0,,2
41.896666,12.478827,18,1701,2.1,0,,2
41.900503,12.470289,18,1701,2.1,0,,2
41.902906,12.483296,18,1701,2.1,0,,0
41.895964,12.473552,18,1701,2.1,0,,0
41.89606,12.47288,18,1701,2.1,0,,2
41.888925,12.498091,18,1701,2.1,0,,0
41.89761,12.47359,18,1701,2.1,0,,0
41.903495,12.476457,18,1701,2.1,0,,0
41.90428,12.48777,18,1701,2.1,0,,0
41.900496,12.475898,18,1701,2.1,0,,0
41.892986,12.489281,18,1701,2.1,0,,0
41.897056,12.468473,18,1701,2.1,0,,2
41.888851,12.475645,18,1701,2.1,0,,0
41.90376,12.48662,18,1701,2.1,0,,0
41.90588,12.48099,18,1701,2.1,0,,0
41.893386,12.488535,18,1701,2.1,0,,0
41.89756,12.49747,18,1701,2.1,0,,0
41.903636,12.461987,18,1701,2.1,0,,0
41.889071,12.471168,18,1701,2.1,1,2017,2
41.89578,12.49444,18,1701,2.1,0,,0
41.89501,12.47239,18,1701,2.1,1,2017,2
41.90581,12.47828,18,1701,2.1,0,,0
41.896656,12.468746,18,1701,2.1,0,,0
41.88972,12.47287,18,1701,2.1,0,,0
41.898508,12.475846,18,1701,2.1,0,,0
41.894444,12.487065,18,1701,2.1,0,,0
41.894151,12.479913,18,1701,2.1,0,,2
41.906036,12.483613,18,1701,2.1,0,,2
41.90125,12.47537,18,1701,2.1,0,,0
41.90703,12.47722,18,1701,2.1,0,,0
41.89305,12.48937,18,1701,2.1,0,,0
41.89822,12.46142,18,1701,2.1,0,,0
41.89296,12.48911,18,1701,2.1,0,,0
41.90513,12.48676,18,1701,2.1,0,,0
41.889929,12.469646,18,1701,2.1,0,,0
41.901161,12.460845,18,1901,2.1,0,,0
41.901952,12.48446,18,1701,2.111,0,,0
41.894839,12.47756,18,1701,2.12,1,2016,1
41.895512,12.473123,18,1701,2.122,0,,0
41.9,12.476719,18,1701,2.122,0,,0
41.902648,12.48632,18,1701,2.12222,0,,0
41.88822,12.47107,18,1701,2.1222222,0,,0
